,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
10,760280472,4.213156854,5026805420,4.038023526,5.555232702,7.345562605,2.602725011,2.612394165,-0.009669153
ãh,89095261,4.190530545,430464806,4.024345573,5.482588187,7.181443379,2.124915288,2.097997527,0.026917761
?,54424892,4.183506566,255993924,4.020230377,5.461670609,7.139593386,1.987332671,1.966827668,0.020505004
ãÁ,30989656,4.174417103,142879482,4.014939179,5.435454239,7.089186897,1.814897956,1.808839303,0.006058653
è≠îN,16888508,4.163171647,69230880,4.007210867,5.404148072,7.021063991,1.608985767,1.595322611,0.013663155
ÉX,14184165,4.159630029,56207352,4.004720019,5.394515355,7.000267583,1.545627842,1.530140717,0.015487124
íºîd,13436037,4.158500396,52646825,4.003911057,5.391463983,6.99362144,1.525557841,1.509309803,0.016248038
êlê∂,13346184,4.158359506,53680814,4.004152851,5.391084109,6.995602558,1.523059269,1.515519192,0.007540077
?,12758775,4.157408618,50129376,4.003296749,5.388524289,6.988608519,1.506222389,1.493597873,0.012624516
î≈,11055912,4.154314349,40988921,4.000693569,5.380241835,6.96767936,1.451745643,1.427999897,0.023745746
??,10373482,4.15290428,44848968,4.001873376,5.376490961,6.977103177,1.427074763,1.457536837,-0.030462074
ê≥,10226908,4.152586435,39970350,4.00035898,5.37564746,6.965024897,1.421526745,1.419680049,0.001846696
?,9401056,4.15068383,37597032,3.999536347,5.370613332,6.958531816,1.388415433,1.399328874,-0.010913442
?,7780389,4.14626814,28969521,3.995890625,5.359026282,6.930301744,1.312203136,1.310847748,0.001355388
e,7469632,4.145290892,26108117,3.994369489,5.356479593,6.918773076,1.295452625,1.274713603,0.020739022
i,6703187,4.142649266,24251558,3.993266655,5.349626573,6.910502006,1.250377789,1.248789702,0.001588087
ç≈ã≠,6490290,4.141848613,22602448,3.992194909,5.347558264,6.902532314,1.236773757,1.223810406,0.012963352
ñvëzìû,6138648,4.14045243,20906844,3.990986201,5.34396112,6.89362268,1.21311402,1.195885061,0.017228959
ï¸óF,5352822,4.136940131,19969469,3.990264253,5.334964677,6.88833984,1.1539411,1.179327128,-0.025386028
Èx,5284740,4.136606093,18141669,3.988726793,5.334112914,6.877183611,1.148338741,1.144360312,0.003978429
ínï˚,5190850,4.136136605,16546144,3.987217763,5.332916882,6.866354725,1.140471999,1.110419484,0.030052516
ÊÃ,4753016,4.13379973,17190800,3.987848452,5.326982727,6.870866264,1.101440877,1.124559938,-0.023119061
ê^õâ,4450945,4.132026566,14046758,3.984447202,5.322500897,6.846772111,1.071962232,1.049041965,0.022920267
?,4089411,4.129698037,12738498,3.982739084,5.316642033,6.83488381,1.033426323,1.011780627,0.021645696
êª,3552690,4.125726701,11661552,3.981159932,5.306717637,6.824013308,0.96814992,0.977709364,-0.009559444
ëÊàÍéü,3201237,4.122700502,10058560,3.978438081,5.299210832,6.805537051,0.918774895,0.919799485,-0.00102459
ê¨?,3105576,4.121805099,9684660,3.977724702,5.296998677,6.800747256,0.90422474,0.904786894,-0.000562154
ç∑Íy,2960575,4.120380811,9215829,3.976780096,5.293488185,6.794437682,0.881134938,0.885010883,-0.003875946
ï˚ñ@,2915388,4.11991925,8608941,3.975464328,5.292352728,6.785709902,0.873666618,0.857655523,0.016011096
ëä,2763978,4.118305788,8475918,3.975160429,5.288391793,6.783704009,0.847614094,0.851368481,-0.003754387
??,2463540,4.114754721,7616004,3.973040891,5.279718524,6.769815203,0.790566809,0.807836987,-0.017270178
êÁîN,2374534,4.113598693,6832948,3.970833379,5.276907889,6.755533034,0.772080227,0.76307258,0.009007648
ã≥,1967916,4.107539485,5647824,3.96681183,5.262276401,6.729971408,0.675843544,0.682955128,-0.007111583
étò˙,1959464,4.10739747,5787530,3.967338334,5.261935443,6.733285481,0.673600939,0.693342381,-0.019741442
óﬂêl,1593912,4.100412859,4313172,3.960787255,5.245273588,6.69270826,0.564009782,0.566161752,-0.00215197
ë¢,1544520,4.0993179,4164840,3.959975432,5.242680158,6.687775936,0.546951835,0.550702437,-0.003750602
åQêØ,1524801,4.098868604,3875730,3.958284322,5.241617417,6.677566237,0.539961799,0.518702318,0.02125948
âÒò“,1513376,4.098604989,3896354,3.958410101,5.24099426,6.678322621,0.535863062,0.521073042,0.01479002
êﬂ,1505627,4.098424789,3830934,3.958008229,5.240568449,6.675907583,0.533062348,0.513503623,0.019558726
óé,1456396,4.097252527,3816165,3.957916319,5.237801618,6.675355932,0.514863885,0.511774589,0.003089296
í∏,1387743,4.095533443,3426148,3.955315392,5.233754145,6.659848009,0.488242162,0.463168322,0.02507384
å˚,1313980,4.093565236,3471518,3.955636485,5.229134516,6.661751872,0.457857164,0.469135573,-0.011278409
ñØéÂ,1298058,4.093122442,3473496,3.955650365,5.228097318,6.661834236,0.451035127,0.469393723,-0.018358595
?ë∫,989248,4.082917969,2287812,3.944934104,5.204400374,6.599811083,0.295171604,0.274995408,0.020176195
éö,985072,4.082753858,2306604,3.945154817,5.204022409,6.601058372,0.292685587,0.278904767,0.01378082
ìx,978234,4.082483269,2395902,3.946173821,5.203399425,6.606832675,0.288587995,0.297003088,-0.008415093
ê_íd,925162,4.080300405,2150160,3.943245276,5.198383299,6.590306819,0.255595084,0.245206322,0.010388762
ÊÈóé,925162,4.080300405,2150160,3.943245276,5.198383299,6.590306819,0.255595084,0.245206322,0.010388762
â›ïº,917841,4.079987163,2290855,3.944969997,5.197664867,6.60001384,0.25086969,0.275630907,-0.024761217
ã¡ï,903132,4.07934838,2212904,3.944031304,5.196200856,6.594721701,0.241240354,0.259043826,-0.017803472
ÁŒét,873954,4.07804234,1936768,3.940341563,5.193212011,6.574125863,0.221581621,0.194490576,0.027091046
??,822417,4.075598397,1899152,3.939788301,5.187634917,6.571065289,0.184899018,0.184897859,1.16E-06
ùmã~,810308,4.074996636,1810830,3.938433747,5.186264823,6.563601826,0.175887405,0.161505231,0.014382174
àÍïî,772485,4.073043017,1654527,3.935822049,5.181825234,6.54932861,0.146686591,0.116768884,0.029917707
îÌîó,695514,4.068675413,1561724,3.934121212,5.171945677,6.540114244,0.081705107,0.087888423,-0.006183316
â¸ë¢,633152,4.06467382,1314082,3.928887147,5.162948267,6.512143381,0.022525828,0.000219732,0.022306096
è≠èó,546378,4.058213916,1192764,3.925851532,5.148529194,6.496176874,-0.072313726,-0.049823871,-0.022489855
?,531620,4.056988987,1078293,3.922611587,5.14580939,6.479333743,-0.090202878,-0.102615066,0.012412187
çT,492536,4.053530974,969182,3.919096935,5.138155371,6.46128542,-0.140546177,-0.159183676,0.018637499
ë‹,489866,4.053282442,989866,3.919800002,5.137606622,6.464877644,-0.1441555,-0.147924618,0.003769119
ÂLîVå™,478586,4.052213686,944892,3.918247023,5.135248897,6.456954836,-0.159663123,-0.172756966,0.013093843
äË,448054,4.049157399,883492,3.915971358,5.128524769,6.445422935,-0.203890193,-0.208901245,0.005011052
ç¶,442091,4.048530419,867312,3.915338682,5.127148648,6.442233032,-0.21294145,-0.218899314,0.005957864
ç•óÁ,396746,4.043392967,756391,3.910563928,5.11591427,6.418379948,-0.286834086,-0.293661707,0.006827621
?,389400,4.042492415,736447,3.909612596,5.113952493,6.413672984,-0.29973742,-0.308414682,0.008677262
ãˆè„,384118,4.041831817,738940,3.909733258,5.112514843,6.414269171,-0.309193372,-0.306546059,-0.002647312
ùæäØ,363389,4.039126528,659694,3.905627402,5.106639662,6.394114422,-0.347836602,-0.369716812,0.02188021
ñ“óÛ,346133,4.036724813,665772,3.905963628,5.101440147,6.395754775,-0.382035723,-0.364575476,-0.017460248
íÜö†ëÂ,314322,4.031883599,589756,3.901456875,5.09100524,6.37391333,-0.450669953,-0.433032819,-0.017637134
EP9,302690,4.029959868,549635,3.898775312,5.086875506,6.361063666,-0.477832734,-0.473307344,-0.00452539
à–êM,291299,4.027985365,519662,3.89660746,5.082646514,6.350753011,-0.505648371,-0.505623888,-2.45E-05
éÑñ[,291027,4.027937056,504898,3.895481494,5.082543167,6.345424526,-0.506328118,-0.522324887,0.015996769
â¬ûŸ,288152,4.027422998,518244,3.896501058,5.081443823,6.350248701,-0.51355891,-0.507204541,-0.006354369
óõèxåÜ,283707,4.026615619,508918,3.895792105,5.079718523,6.346892635,-0.524906845,-0.517723411,-0.007183435
í†öd,274139,4.024823426,487223,3.894078287,5.075894528,6.338809293,-0.550058668,-0.54305892,-0.006999747
àÍ?,271079,4.02423388,484069,3.893821218,5.074638344,6.337600388,-0.55832105,-0.546847974,-0.011473076
‚WåÍ,268632,4.023756488,469120,3.892573738,5.073621759,6.331747053,-0.565007509,-0.565194003,0.000186494
ãóó£,242756,4.018354313,431926,3.889242174,5.062156478,6.316220072,-0.64041888,-0.613860006,-0.026558874
í¥çÇ,235717,4.016760607,392146,3.88525822,5.058787384,6.297848367,-0.662578654,-0.671442188,0.008863534
îÈêh,231832,4.015855602,373786,3.883245526,5.056876865,6.288645849,-0.675144841,-0.700285514,0.025140672
?,223918,4.013952702,364154,3.882139675,5.052865961,6.283611707,-0.70152603,-0.716063956,0.014537926
äJùD,210003,4.010396531,361113,3.881782941,5.045392707,6.281991061,-0.750680374,-0.721143523,-0.029536851
üÅ,188846,4.004391294,313454,3.875649295,5.032837664,6.254372752,-0.833259515,-0.807707212,-0.025552303
ù∞éU,170659,3.998523053,274462,3.869694522,5.0206457,6.227991172,-0.913450552,-0.890394634,-0.023055919
ädö”,169504,3.998124496,254398,3.866202963,5.019820341,6.212711828,-0.918879247,-0.938284474,0.019405228
‡≠,157541,3.993788239,249533,3.86530439,5.01086226,6.208801636,-0.977799839,-0.950540134,-0.027259704
öLëi,157221,3.993666706,234560,3.862395693,5.010611758,6.196204957,-0.979447484,-0.990021732,0.010574248
è¨?,151018,3.991248658,230149,3.861494379,5.00563411,6.192320233,-1.01218731,-1.002197568,-0.009989742
ì{ô·,144693,3.988653305,208484,3.856731826,5.000304863,6.171936175,-1.047239731,-1.066087042,0.018847311
êØãâ,120344,3.97717238,175476,3.848145977,4.976892137,6.135774014,-1.201233851,-1.179429606,-0.021804245
ÍyìH,119404,3.976672648,172663,3.847322091,4.975878911,6.132342216,-1.207898211,-1.190185844,-0.017712366
éñã∆,116168,3.974914398,157693,3.842637094,4.972317799,6.112950602,-1.231320955,-1.250964713,0.019643758
â‘íU,112359,3.972765623,160933,3.84369686,4.967973718,6.117318926,-1.259893578,-1.237273136,-0.022620442
è«åÛåQ,91077,3.958836106,118948,3.827383513,4.94002062,6.051198564,-1.443751392,-1.444513278,0.000761886
óLï–,90373,3.958308069,119618,3.827697845,4.938967882,6.052450657,-1.450675639,-1.44058886,-0.010086779
ì˙ö¢,86727,3.955489623,107518,3.821654812,4.933357114,6.028523008,-1.48757973,-1.515584963,0.028005233
ê”îC,83275,3.952682845,109952,3.822936506,4.927783368,6.033572813,-1.524240308,-1.499757429,-0.024482879
ìVö£,73530,3.943913529,94212,3.813944968,4.910456019,5.99842375,-1.63820866,-1.609924652,-0.028284007
??,69006,3.939339235,81229,3.804987252,4.901468728,5.96402799,-1.697321385,-1.717730811,0.020409426
ìdë‰,54828,3.922187204,61124,3.786863682,4.86806874,5.896202011,-1.917005405,-1.930316848,0.013311443
